text,index_label,classes,trinary_classes,trinary_class_index
"i feel so inhibited in someone elses kitchen like im painting on someone elses picture. i found myself feeling a little discouraged that morning, i become overwhelmed and feel defeated. i feel pretty pathetic most of the time",1,sadness,Negative emotions,0
i feel irritated and rejected without anyone doing anything or saying anything,0,anger,Negative emotions,0
i know the pain parents feel when an enraged child becomes violent,0,anger,Negative emotions,0
im feeling bitter today my mood has been strange the entire day so i guess its that,0,anger,Negative emotions,0
i feel disgusted to even be associated with this woman by my race and nationality,0,anger,Negative emotions,0
i laughed then bitterly again but i wasnt feeling bitter,0,anger,Negative emotions,0
im feeling distracted i tend to practice with my eyes shut as much as possible,0,anger,Negative emotions,0
"stress, depression, melancholy, gloom, misery is what in my mind and body now. And the thought of suicide keep haunting me day after day. I dont want to live anymore, I am so exhausted with the work at school.",4,depression,Negative emotions,0
"I currently feel stress, depression, melancholy, gloom, and unhappiness in my body and mind. And I'm plagued by the idea of suicide every single day. I am so worn out from the job at school that I don't want to live any longer.",4,depression,Negative emotions,0
"My body and mind are currently experiencing tension, depression, melancholy, gloom, and dissatisfaction. And I have the urge to commit suicide every single day. I don't want to live any longer because I am so exhausted from my work at school.",4,depression,Negative emotions,0
"Currently, stress, despair, melancholy, gloom, and discontent are present in my body and mind. And I feel like killing myself every single day. I am so worn out from my job at school that I don't want to live any longer.",4,depression,Negative emotions,0
"My body and mind are currently experiencing tension, desperation, depression, gloom, and unhappiness. And I have a constant want to destroy myself. I don't want to live any longer because my job at school has tired me out so much.",4,depression,Negative emotions,0
"My body and mind are currently experiencing tension, desperation, depression, gloom, and unhappiness. I despise my parents, my ex-girlfriend (she dumped me), and my closest friends (they treat me with contempt).",4,depression,Negative emotions,0
"My parents, my ex-girlfriend (who dumped me), and my closest friends (who are rude to me) are all people I hate. I simply want to log out of this world and commit suicide because of them all",4,depression,Negative emotions,0
"I despise my parents, my ex-girlfriend who dumped me, and my closest friends who treat me badly. Because of them all, I just want to log out of this world and commit suicide.",4,depression,Negative emotions,0
"I appear to be hooked to my phone since it's the only thing that can let me escape the actual world, where nobody cares about me, and I'm constantly alone in my room with only it. I'm by myself, lonesome, unattended, isolated, and apart from everyone.",5,lonely,Negative emotions,0
"in the dark of my room, i always alone with just my phone, I seem to be addicted t o it cause it is the only way that can help me escape the real word in which there is nobody care about me. I am alone, solitary, unattended, isolated, separated from the crowd",5,lonely,Negative emotions,0
"Since my phone is the only thing that can help me escape the real world, where nobody is interested in me, and since I am always alone myself in my room with it, I have the appearance of being addicted to it. I'm alone, unaccompanied, isolated, and separate from everyone.",5,lonely,Negative emotions,0
"Because I can only escape the real world, where no one is interested in me, and because I am confined to my room alone almost continuously, I have the appearance of being addicted to my phone. I'm alone, unaccompanied, separated from everyone, and all by myself.",5,lonely,Negative emotions,0
"I have the appearance of being addicted to my phone because I can only use it as an escape from the real world, where no one is interested in me, and because I am locked in my room by myself practically constantly. I'm all by myself, unaccompanied, apart from everyone else.",5,lonely,Negative emotions,0
"Because I can only use my phone to escape from the real world, where no one is interested in me, and because I am nearly always trapped in my room by myself, I give the impression that I am addicted to my phone. I'm alone, unaided, and separate from everyone else.",5,lonely,Negative emotions,0
I have just committed a very tragedy wrongdoing. I was y allied to guilt and self-directed resentment.  I had lied to his parents about his grades and was feeling very guilty about it. I knew I had to tell them the truth but I was afraid of their reaction. Now the shameful feeling is in me: repentance and self-accusation.,2,remorse,Negative emotions,0
"I just did something extremely tragically wrong. I was connected to self-directed wrath and guilt.  I felt terrible about lying to his parents about his academic standing. Although I was aware that I had to be honest with them, I was terrified of their response. I'm now experiencing a guilty sensation of regret and self-blame.",2,remorse,Negative emotions,0
"Just now, I made a terrible, dreadful mistake. I had a connection to remorse and self-directed rage.  I felt guilty for misrepresenting his academic position to his parents. I knew I had to tell them the truth, but I was afraid of what they might say. Right now, I'm feeling bad and blaming myself for what happened.",2,remorse,Negative emotions,0
"I made a terrible, awful error just now. I was connected to regret and anger that was aimed at myself.  I felt bad for lying to his parents about his academic standing. Although I was aware that I had to be honest with them, I was terrified of what they would say. I'm feeling guilty and blaming myself for what transpired right now.",2,remorse,Negative emotions,0
"I just committed a terrible, terrible error. I felt a connection to self-directed remorse and rage.  I felt horrible for misrepresenting his academic position to his parents. I knew I had to tell them the truth, but I was afraid of what they might say. I'm feeling bad right now and blaming myself for what happened.",2,remorse,Negative emotions,0
"Last day, I insulted my friend, I did bodyshaming him. But now I feel truly horrible for my wrongdoings. Now in me, the feeling self-directed remorse is elevating. How can I apologize him and stop doing self-reproach every single day",2,remorse,Negative emotions,0
"I body shamed my buddy the other day after I criticized her. But now that I've done wrong, I feel so awful. Self-directed regret is now becoming more intense in me. How can I apologise to him and stop always criticizing myself?",2,remorse,Negative emotions,0
"The other day, I body shamed my friend after criticizing her. But now that I've messed up, I feel so terrible. I'm experiencing more and more self-directed remorse at the moment. How can I apologize to him and stop putting myself down so much?",2,remorse,Negative emotions,0
"The other day, after criticizing my buddy, I body shamed her. But I feel so bad now that I botched things. I'm now going through an increasing amount of self-directed regret. How do I stop criticizing myself so much and express my regret to him?",2,remorse,Negative emotions,0
"The other day, I body shamed my friend after I had criticized her. But now that I've messed up, I feel so terrible. I'm currently experiencing a lot more self-directed remorse. How do I tell him I'm sorry and stop being so hard on myself?",2,remorse,Negative emotions,0
"today, after meditation, I have a feeling of great pleasure and happiness. I am filled with delight, joyfulness, exhilaration, ectasy. I am very excited to go to school, to meet my lovely friendes. everything just happens smoothly and pleasant to me",6,joy,Positive emotions,1
"Today, after meditating, I feel really happy and content. I'm overjoyed, joyous, exhilarated, and ecstatic. I can't wait to get to school and see all of my great friends. Everything is really easy and enjoyable for me.",6,joy,Positive emotions,1
"After practicing meditation today, I feel really pleased and happy. I'm thrilled, joyful, euphoric, and invigorated. I am eager to visit my wonderful pals at school. For me, everything is really simple and pleasurable.",6,joy,Positive emotions,1
"After practicing meditation today, I feel really pleased and happy. I'm thrilled, joyful, euphoric, and invigorated. I am eager to visit my wonderful pals at school. For me, everything is really simple and pleasurable.",6,joy,Positive emotions,1
"I feel really satisfied and joyful after practicing meditation today. I feel elated, happy, ecstatic, and reenergized. I can't wait to see my amazing school friends. Everything is incredibly easy and enjoyable for me.",6,joy,Positive emotions,1
"After engaging in some meditation today, I feel really content and happy. I'm jubilant, joyful, delighted, and revitalized. I am very excited to see my wonderful school mates. For me, everything is really simple and pleasurable.",6,joy,Positive emotions,1
"I assisted an elderly man in crossing the street today. She was really appreciative of me and complimented me in a way that made me happy. The takeaway is that their pleasure is dependent on other people. They may also assist others in finding pleasure, just as others can assist them in doing so.",6,joy,Positive emotions,1
"Today, I helped a senior citizen cross the street. She gave me a lot of credit and complemented me in a way that made me feel good. The lesson is that they need other people to enjoy themselves. In the same way that others may help them, they might also help other people enjoy themselves.",6,joy,Positive emotions,1
"I assisted an older citizen in crossing the street today. She was quite complimentary and gave me a lot of credit, which made me feel fantastic. The key takeaway is that they cannot have fun alone. They may assist others in the same manner that they might assist others in having fun.",6,joy,Positive emotions,1
"Today, I helped a senior citizen cross the street. She gave me a lot of credit and was really nice, which made me feel great. The main lesson is that they can't enjoy themselves by themselves. They might help others in the same way that they could help others have pleasure.",6,joy,Positive emotions,1
"My pals are helping me grasp a really challenging subject today. As a result, I am quite grateful for their patience. I believe I owe them a great debt. I sincerely thank them; now I must take action to repay them.",9,gratitude,Positive emotions,1
"Today, my friends are assisting me in understanding a pretty difficult topic. I am therefore really appreciative of their tolerance. I really feel like I owe them a lot. I really appreciate them, and now I must act to return the favor. This appreciation is wonderful, and it improves my life.My pals are helping me grasp a really complex subject today. Therefore, I truly appreciate their patience. I have a strong sense that I owe them a lot. I genuinely appreciate them, and now I have to do something to pay them back. My life is better because of this amazing admiration.",9,gratitude,Positive emotions,1
"Today my friends are assisting me in understanding a really difficult topic. Their warmth and tolerance astounded me. I thought he owed them a lot for their assistance. He wanted to let them know how much I valued their relationship since, as I soon understood, he had taken it for granted. To show his friends how much I cared, I made the decision to do something special for them. They were all invited to a surprise party I threw for them. The kindness and feeling of appreciation were sensed by my pals. I realized then and there that friendships may be significantly strengthened by showing thanks and appreciation.",9,gratitude,Positive emotions,1
"Today, my buddies are helping me to comprehend an extremely challenging subject. I was surprised by their friendliness and tolerance. I believed he owed them a great deal for their help. As I quickly realized, he had taken their friendship for granted, therefore he wanted to express how much I cherished it. I decided to do something special for his buddies to show them how much I cared. I gave them a surprise party, and they were all invited. My friends could feel the consideration and care. I understood right then and then that expressing gratitude and appreciation may greatly enhance friendships.",9,gratitude,Positive emotions,1
"I begin to grow throughout puberty, both physically and mentally. I am now overwhelmed by thanks for my parents' efforts and their devotion in providing for me in every manner. I owe them a great debt of gratitude for giving me this life.",9,gratitude,Positive emotions,1
"During my puberty, I start grow in both physica body and mind. I understand the attempt of my parents, their love, they always try to care for me everything, Now I am filled with big gratitude, I owe this life to  them with huge respect and appreciation grategully",9,gratitude,Positive emotions,1
"During puberty, I start to develop both physically and intellectually. I am now overcome with gratitude for my parents' efforts and commitment to taking care of me in every way. They gave me this life, and I owe them a big debt of gratitude.",9,gratitude,Positive emotions,1
"I start to grow both physically and cognitively during puberty. Now when I think of my parents' work and dedication to providing for me in every manner, I am struck with appreciation. I owe them a huge debt of gratitude since they gave me this life.",9,gratitude,Positive emotions,1
"During puberty, I begin to develop mentally and physically. I am now moved to gratitude when I consider how hard my parents worked and how committed they were to provide for me in every way. Since they gave me this life, I owe them a great debt of gratitude.",9,gratitude,Positive emotions,1
"One day, a friend of mine came over to visit me. She brought me some flowers and a card that said “I’m here for you”. I was touched by her kindness and it made me feel better. From that day on, I started to appreciate the little things in life more. I realized that there were people who cared about me and that I wasn’t alone. I started to feel more grateful for the good things in my life and less focused on the negative. My friend’s gesture of kindness helped me see the world in a different light.",9,gratitude,Positive emotions,1
"One day, I had a visit from a buddy. She came over with some flowers and a I'm here for you card. Her thoughtfulness moved me, and it improved my mood. I began to value the simple things in life more after that day. I understood that I was not alone and that there were people out there that cared about me. I began to be more appreciative of the positive aspects of my life and less concerned with the drawbacks. I was able to change how I perceived the world because to my friends thoughtful action.",9,gratitude,Positive emotions,1
"I had a visit from a friend one day. She arrived bearing flowers and a I'm here for you card. I was impressed by her thoughtfulness, and it made me feel better. After that day, I started to appreciate the small things in life more. I realized there were people out there who cared about me and that I wasn't alone. I started to focus less on the negative parts of my life and more on the positive ones. I was able to alter my perspective of the world as a result of my friend's kind deed.",9,gratitude,Positive emotions,1
"One day a buddy came to see me. She showed up with bouquets and a I'm here for you card. Her thoughtfulness pleased me, and it made me feel better. I began to value the little things in life more after that day. I came to the realization that I wasn't alone and that there were others who cared about me. I began to place more emphasis on the positive aspects of my life and less on the unpleasant ones. I was able to change my worldview as a consequence of my friend's thoughtful act.",9,gratitude,Positive emotions,1
"I had been working on a project for months and it was finally coming to an end. I had put in a lot of hard work and dedication into it. When I finally finished it, I felt a sense of pride in myself. I realized that I was capable of achieving great things if I put my mind to it. I am very proud of myself, prides in myself.From that day on, I learned to believe in myself and my abilities more.",10,pride,Positive emotions,1
"I was nearing completion of a project that I had been working on for some months. I had worked really arduously and with great attention on it. I felt proud of myself when I eventually finished it. I came to the conclusion that if I set my mind to anything, I could do amazing things. I take great pleasure in and in myself.I started to have more confidence in my skills and abilities after that day",10,pride,Positive emotions,1
"A project I had been working on for a few months was almost finished. I had put in a lot of effort and paid close attention to it. When I finally finished it, I was pleased with myself. I realized that everything was possible for me to do if I put my mind to it. I enjoy being happy with myself.After that day, I gradually gained greater faith in my skills and abilities.",10,pride,Positive emotions,1
"I believe I am a math prodigy. I am quite pleased of my aptitude in arithmetic. Everyone is pulling for me and giving me accolades. They cheer and compliment me often. They've congratulated me, and I'm really happy.",10,pride,Positive emotions,1
"I think I'm a math genius. I am satisfied with my ability for mathematics. Everyone is rooting for me and praising me. They frequently applaud and commend me. I've received their congratulations, and I'm overjoyed.",10,pride,Positive emotions,1
"I believe I am a math prodigy. I am happy with my mathematical skills. Everyone is cheering me on and complimenting me. They often congratulate and praise me. They have congratulated me, and I am ecstatic.",10,pride,Positive emotions,1
"I think I'm a math genius. My aptitude in mathematics makes me joyful. Everyone is encouraging me and praising me. They frequently congrats and laud me. I've received their congratulations, and I'm overjoyed.",10,pride,Positive emotions,1
"I was nearing completion of a project that I had been working on for a few months. I had worked hard and had paid great attention to it. I was happy with myself after I had done it. I came to the conclusion that everything I set my mind to might be accomplished by me. I like feeling good about myself.After that day, my confidence in my skills and abilities grew over time.",10,pride,Positive emotions,1
"I have always been grateful for my family and the people around me. They have always been there for me through thick and thin. I have learned to appreciate the little things in life because of them. They have taught me that love is the most important thing in life and that it’s important to cherish the people around you. From that day on, I learned to love my family and everyone around me more.",9,gratitude,Positive emotions,1
"I love my parents so much, I always care for them, sending my big heart to my family members all the time.  I want to make my warmth pervasive to everyone around. That is my devotion, relentless love",7,love,Positive emotions,1
I have a huge heart and constantly send it to my family since I adore my parents and take such good care of them.  I want to spread my warmth over the entire area. That is my unwavering love and dedication.,7,love,Positive emotions,1
I have a big heart and continually send it to my family since I love and care for my parents so much.  I want to fill the space with my warmth. That is my undying devotion and adoration.,7,love,Positive emotions,1
"I have always been a very caring person. I love my family and friends and I always try to show them how much I care. I believe that love is the most important thing in life and that it’s important to cherish the people around you. From that day on, I learned to love my family and everyone around me more.",7,love,Positive emotions,1
"I've always taken great care of others. I constantly strive to show my friends and family how much I care because I adore them. Love, in my opinion, is the most significant aspect of life, and I think it's crucial to value the people in your life. I gained a greater affection for my family and everyone around me after that day.",7,love,Positive emotions,1
"I've always given them my very best. I love my friends and family and I always try to make sure they know how much I care for them. Love is the most important component of life, in my opinion, and it's important to cherish the people in your life, in my opinion. After that day, I had a deeper love for my family and everyone else in my life.",7,love,Positive emotions,1
"I have always had a soft spot for underprivileged children. I believe that every child deserves a chance to succeed in life. From that day on, I learned to love and care for underprivileged children more.  I have a big heart and continually send it to them since I love and care for them so much.",7,love,Positive emotions,1
"I've always had a special place for kids from poor backgrounds. Every youngster should have the opportunity to achieve in life, in my opinion. I started learning to love and care for disadvantaged kids more after that day.  I have a large heart and I send it to them all the time because I care and love them so much.",7,love,Positive emotions,1
"Poor children have always held a particular place in my heart. In my opinion, every young person should have the chance to succeed in life. After that day, I began to develop a deeper love and compassion for underprivileged children.  My heart is big, and I constantly send it to them because I care and love them so much.",7,love,Positive emotions,1
"I'll take part in a competition and am confident I'll take home the top honors. Such positivity gives me hope, buoyancy, and confidence.",8,optimism,Positive emotions,1
"I will participate in a competition; I feel very optimistic that I will win the first prize. Such optimism helps me gain hopefulness, buoyancy and confidence",8,optimism,Positive emotions,1
"I have always been an optimistic person. I believe that there is always a silver lining in every situation. From that day on, I learned to look at the bright side of things and to stay positive no matter what.",8,optimism,Positive emotions,1
I've always had a positive outlook on life. I firmly think that every circumstance has a bright side. I gained the ability to see the silver lining in any situation and to maintain my optimistic outlook as a result of that day.,8,optimism,Positive emotions,1
I've always been optimistic about life. I genuinely believe that there is good in every situation. That day gave me the capacity to keep my positive mindset and the ability to see the silver lining in any circumstance.,8,optimism,Positive emotions,1
"I'll participate in a competition and am sure I'll win first place. Such enthusiasm instills optimism, buoyancy, and confidence in me",8,optimism,Positive emotions,1
